Date,Start/Stop,Total,Action,Session
05/17/22,15:34:30,,Start,
05/17/22,15:34:52,0:00:22,Stop,
05/17/22,15:35:14,,Start,
05/17/22,15:35:34,0:00:20,Stop,
05/17/22,15:40:27,,Start,
05/17/22,15:40:30,0:00:03,Stop,
05/17/22,15:40:39,,Start,
05/17/22,15:40:43,0:00:04,Stop,
05/17/22,15:40:55,,Start,
05/17/22,15:41:06,0:00:11,Stop,
05/17/22,16:11:02,,Start,
05/17/22,16:13:20,0:02:18,Stop,
05/30/22,08:36:06,,Start,
05/30/22,08:36:12,0:00:06,Stop,
05/30/22,09:37:57,,Start,
05/30/22,09:38:01,0:00:04,Stop,
05/30/22,09:39:38,,Start,
05/30/22,09:39:48,0:00:10,Stop,
05/30/22,09:40:12,,Start,
05/30/22,09:40:22,0:00:10,Stop,
05/30/22,09:41:20,,Start,
05/30/22,09:41:37,0:00:17,Stop,
05/30/22,09:43:46,,Start,
05/30/22,10:46:58,1:03:12,Stop,
05/30/22,10:47:20,,Start,
05/30/22,10:47:35,0:00:15,Stop,
05/30/22,10:48:25,,Start,
05/30/22,10:48:31,0:00:06,Stop,
05/30/22,11:09:41,,Start,
05/30/22,12:12:06,1:02:25,Stop,
05/30/22,12:37:21,,Start,
05/30/22,13:39:19,1:01:58,Stop,
05/30/22,14:25:09,,Start,
05/30/22,15:14:59,0:49:50,Stop,
05/31/22,07:58:39,,Start,
05/31/22,08:44:35,0:45:56,Stop,
06/07/22,07:58:56,,Start,
06/07/22,08:34:25,0:35:29,Stop,
06/07/22,08:56:21,,Start,
06/07/22,10:00:31,1:04:10,Stop,
06/13/22,15:49:38,,Start,
06/13/22,16:46:41,0:57:03,Stop,
06/13/22,17:14:37,,Start,
06/13/22,18:14:04,0:59:27,Stop,
06/13/22,20:31:07,,Start,
06/13/22,21:37:35,1:06:28,Stop,
06/13/22,21:43:31,,Start,
06/13/22,21:55:43,0:12:12,Stop,
06/14/22,07:22:36,,Start,
06/14/22,08:27:00,1:04:24,Stop,
06/14/22,08:49:28,,Start,
06/14/22,09:00:27,0:10:59,Stop,
06/14/22,09:41:44,,Start,
06/14/22,10:38:55,0:57:11,Stop,
06/14/22,11:17:51,,Start,
06/14/22,12:19:15,1:01:24,Stop,
06/19/22,11:44:52,,Start,
06/19/22,12:35:38,0:50:46,Stop,
06/19/22,12:47:47,,Start,
06/19/22,14:10:50,1:23:03,Stop,
06/19/22,15:10:12,,Start,
06/19/22,16:37:42,1:27:30,Stop,
06/20/22,08:24:42,,Start,
06/20/22,08:38:01,0:13:19,Stop,
06/20/22,09:02:58,,Start,
06/20/22,09:06:36,0:03:38,Stop,
06/20/22,09:27:31,,Start,
06/20/22,09:27:34,0:00:03,Stop,
06/20/22,13:38:17,,Start,
06/20/22,14:16:14,0:37:57,Stop,
06/20/22,14:43:01,,Start,
06/20/22,15:27:23,0:44:22,Stop,
06/20/22,15:46:54,,Start,
06/20/22,16:08:46,0:21:52,Stop,
06/21/22,05:58:52,,Start,
06/21/22,06:22:48,0:23:56,Stop,
06/21/22,06:36:42,,Start,
06/21/22,06:42:24,0:05:42,Stop,
06/22/22,16:59:43,,Start,0.0
06/22/22,16:59:47,0:00:04,Stop,0.0
06/22/22,16:59:53,,Start,0.0
06/22/22,16:59:56,0:00:03,Stop,0.0
06/22/22,17:00:48,,Start,0.0
06/22/22,17:00:52,0:00:04,Stop,0.0
06/22/22,17:07:23,,Start,0.0
06/22/22,17:08:08,0:00:45,Stop,0.0
06/22/22,17:10:34,,Start,0.0
06/22/22,17:10:37,0:00:03,Stop,0.0
06/22/22,17:10:42,,Reset,1.0
06/22/22,17:10:44,0:00:02,Stop,1.0
06/22/22,17:13:18,,Start,1.0
06/22/22,17:13:25,0:00:07,Stop,1.0
06/22/22,17:18:20,,Start,1.0
06/22/22,17:18:33,0:00:13,Stop,1.0
06/22/22,17:23:51,,Start,1.0
06/22/22,17:23:52,0:00:01,Stop,1.0
06/22/22,17:24:24,,Start,1.0
06/22/22,17:24:37,0:00:13,Stop,1.0
06/22/22,17:24:51,,Reset,2.0
06/22/22,17:25:00,0:00:09,Stop,2.0
06/22/22,17:25:27,,Start,2.0
06/22/22,17:25:40,0:00:13,Stop,2.0
07/04/22,12:23:17,,Start,0.0
07/04/22,12:23:40,0:00:23,Stop,0.0
07/04/22,12:28:47,,Reset,1.0
07/04/22,12:29:08,0:00:21,Stop,1.0
